date ,week
31/12/2021,52
02/01/2022,1
03/01/2022,1
04/01/2022,1
05/01/2022,1
06/01/2022,1
07/01/2022,1
08/01/2022,1
09/01/2022,2
10/01/2022,2
11/01/2022,2
12/01/2022,2
13/01/2022,2
14/01/2022,2
15/01/2022,2
16/01/2022,3
17/01/2022,3
18/01/2022,3
19/01/2022,3
20/01/2022,3
21/01/2022,3
22/01/2022,3
23/01/2022,4
24/01/2022,4
25/01/2022,4
26/01/2022,4
27/01/2022,4
28/01/2022,4
29/01/2022,4
30/01/2022,5
31/01/2022,5
01/02/2022,5
02/02/2022,5
03/02/2022,5
04/02/2022,5
05/02/2022,5
06/02/2022,6
07/02/2022,6
08/02/2022,6
09/02/2022,6
10/02/2022,6
11/02/2022,6
12/02/2022,6
13/02/2022,7
14/02/2022,7
15/02/2022,7
16/02/2022,7
17/02/2022,7
18/02/2022,7
19/02/2022,7
20/02/2022,8
21/02/2022,8
22/02/2022,8
23/02/2022,8
24/02/2022,8
25/02/2022,8
26/02/2022,8
27/02/2022,9
28/02/2022,9
01/03/2022,9
02/03/2022,9
03/03/2022,9
04/03/2022,9
05/03/2022,9
06/03/2022,10
07/03/2022,10
08/03/2022,10
09/03/2022,10
10/03/2022,10
11/03/2022,10
12/03/2022,10
13/03/2022,11
14/03/2022,11
15/03/2022,11
16/03/2022,11
17/03/2022,11
18/03/2022,11
19/03/2022,11
20/03/2022,12
21/03/2022,12
22/03/2022,12
23/03/2022,12
24/03/2022,12
25/03/2022,12
26/03/2022,12
27/03/2022,13
28/03/2022,13
29/03/2022,13
30/03/2022,13
31/03/2022,13
01/04/2022,13
02/04/2022,13
03/04/2022,14
04/04/2022,14
05/04/2022,14
06/04/2022,14
07/04/2022,14
08/04/2022,14
09/04/2022,14
10/04/2022,15
11/04/2022,15
12/04/2022,15
13/04/2022,15
14/04/2022,15
15/04/2022,15
16/04/2022,15
17/04/2022,16
18/04/2022,16
19/04/2022,16
20/04/2022,16
21/04/2022,16
22/04/2022,16
23/04/2022,16
24/04/2022,17
25/04/2022,17
26/04/2022,17
27/04/2022,17
28/04/2022,17
29/04/2022,17
30/04/2022,17
01/05/2022,18
02/05/2022,18
03/05/2022,18
04/05/2022,18
05/05/2022,18
06/05/2022,18
07/05/2022,18
08/05/2022,19
09/05/2022,19
10/05/2022,19
11/05/2022,19
12/05/2022,19
13/05/2022,19
14/05/2022,19
15/05/2022,20
16/05/2022,20
17/05/2022,20
18/05/2022,20
19/05/2022,20
20/05/2022,20
21/05/2022,20
22/05/2022,21
23/05/2022,21
24/05/2022,21
25/05/2022,21
26/05/2022,21
27/05/2022,21
28/05/2022,21
29/05/2022,22
30/05/2022,22
31/05/2022,22
01/06/2022,22
02/06/2022,22
03/06/2022,22
04/06/2022,22
05/06/2022,23
06/06/2022,23
07/06/2022,23
08/06/2022,23
09/06/2022,23
10/06/2022,23
11/06/2022,23
12/06/2022,24
13/06/2022,24
14/06/2022,24
15/06/2022,24
16/06/2022,24
17/06/2022,24
18/06/2022,24
19/06/2022,25
20/06/2022,25
21/06/2022,25
22/06/2022,25
23/06/2022,25
24/06/2022,25
25/06/2022,25
26/06/2022,26
27/06/2022,26
28/06/2022,26
29/06/2022,26
30/06/2022,26
01/07/2022,26
02/07/2022,26
03/07/2022,27
04/07/2022,27
05/07/2022,27
06/07/2022,27
07/07/2022,27
08/07/2022,27
09/07/2022,27
10/07/2022,28
11/07/2022,28
12/07/2022,28
13/07/2022,28
14/07/2022,28
15/07/2022,28
16/07/2022,28
17/07/2022,29
18/07/2022,29
19/07/2022,29
20/07/2022,29
21/07/2022,29
22/07/2022,29
23/07/2022,29
24/07/2022,30
25/07/2022,30
26/07/2022,30
27/07/2022,30
28/07/2022,30
29/07/2022,30
30/07/2022,30
31/07/2022,31
01/08/2022,31
02/08/2022,31
03/08/2022,31
04/08/2022,31
05/08/2022,31
06/08/2022,31
07/08/2022,32
08/08/2022,32
09/08/2022,32
10/08/2022,32
11/08/2022,32
12/08/2022,32
13/08/2022,32
14/08/2022,33
15/08/2022,33
16/08/2022,33
17/08/2022,33
18/08/2022,33
19/08/2022,33
20/08/2022,33
21/08/2022,34
22/08/2022,34
23/08/2022,34
24/08/2022,34
25/08/2022,34
26/08/2022,34
27/08/2022,34
28/08/2022,35
29/08/2022,35
30/08/2022,35
31/08/2022,35
01/09/2022,35
02/09/2022,35
03/09/2022,35
04/09/2022,36
05/09/2022,36
06/09/2022,36
07/09/2022,36
08/09/2022,36
09/09/2022,36
10/09/2022,36
11/09/2022,37
12/09/2022,37
13/09/2022,37
14/09/2022,37
15/09/2022,37
16/09/2022,37
17/09/2022,37
18/09/2022,38
19/09/2022,38
20/09/2022,38
21/09/2022,38
22/09/2022,38
23/09/2022,38
24/09/2022,38
25/09/2022,39
26/09/2022,39
27/09/2022,39
28/09/2022,39
29/09/2022,39
30/09/2022,39
01/10/2022,39
02/10/2022,40
03/10/2022,40
04/10/2022,40
05/10/2022,40
06/10/2022,40
07/10/2022,40
08/10/2022,40
09/10/2022,41
10/10/2022,41
11/10/2022,41
12/10/2022,41
13/10/2022,41
14/10/2022,41
15/10/2022,41
16/10/2022,42
17/10/2022,42
18/10/2022,42
19/10/2022,42
20/10/2022,42
21/10/2022,42
22/10/2022,42
23/10/2022,43
24/10/2022,43
25/10/2022,43
26/10/2022,43
27/10/2022,43
28/10/2022,43
29/10/2022,43
30/10/2022,44
31/10/2022,44
01/11/2022,44
02/11/2022,44
03/11/2022,44
04/11/2022,44
05/11/2022,44
06/11/2022,45
07/11/2022,45
08/11/2022,45
09/11/2022,45
10/11/2022,45
11/11/2022,45
12/11/2022,45
13/11/2022,46
14/11/2022,46
15/11/2022,46
16/11/2022,46
17/11/2022,46
18/11/2022,46
19/11/2022,46
20/11/2022,47
21/11/2022,47
22/11/2022,47
23/11/2022,47
24/11/2022,47
25/11/2022,47
26/11/2022,47
27/11/2022,48
28/11/2022,48
29/11/2022,48
30/11/2022,48
01/12/2022,48
02/12/2022,48
03/12/2022,48
04/12/2022,49
05/12/2022,49
06/12/2022,49
07/12/2022,49
08/12/2022,49
09/12/2022,49
10/12/2022,49
11/12/2022,50
12/12/2022,50
13/12/2022,50
14/12/2022,50
15/12/2022,50
16/12/2022,50
17/12/2022,50
18/12/2022,51
19/12/2022,51
20/12/2022,51
21/12/2022,51
22/12/2022,51
23/12/2022,51
24/12/2022,51
25/12/2022,52
26/12/2022,52
27/12/2022,52
28/12/2022,52
29/12/2022,52
30/12/2022,52
31/12/2022,52
01/01/2023,1
02/01/2023,1
03/01/2023,1
04/01/2023,1
05/01/2023,1
06/01/2023,1
07/01/2023,1
08/01/2023,2
09/01/2023,2
10/01/2023,2
11/01/2023,2
12/01/2023,2
